,,,,,,,,`
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
-0.01,0.07,1,,,,,,
0.01,0.09,0.99,,,,,,
0,0.1,0.98,,,,,,
-0.01,0.1,0.98,,,,,,
-0.01,0.11,0.99,,,,,,
-0.01,0.11,0.99,,,,,,
-0.01,0.12,0.98,,,,,,
-0.02,0.12,0.98,,,,,,
-0.02,0.13,1,,,,,,
-0.02,0.13,1.02,,,,,,
0,0.14,1.02,,,,,,
0,0.15,1.01,,,,,,
0,0.15,1.01,,,,,,
-0.01,0.15,1.01,,,,,,
-0.01,0.15,1.01,,,,,,
-0.01,0.16,1,,,,,,
-0.01,0.17,0.98,,,,,,
-0.01,0.17,0.97,,,,,,
-0.01,0.17,0.96,,,,,,
-0.01,0.17,0.97,,,,,,
0,0.18,0.99,,,,,,
0,0.18,0.99,,,,,,
-0.01,0.19,1,,,,,,
0,0.19,1.01,,,,,,
0,0.19,1.04,,,,,,
-0.01,0.16,1.08,,,,,,
-0.01,0.16,1.1,,,,,,
-0.03,0.14,1.11,,,,,,
-0.04,0.14,1.1,,,,,,
-0.04,0.13,1.05,,,,,,
-0.04,0.14,1.06,,,,,,
-0.02,0.09,1.07,,,,,,
-0.01,0.07,1.08,,,,,,
-0.01,0.05,1.08,,,,,,
-0.01,0.04,1.06,,,,,,
-0.01,0.03,1.06,,,,,,
-0.01,0.01,1.08,,,,,,
0,-0.01,1.08,,,,,,
0.01,0.01,1.05,,,,,,
0.02,0.02,0.98,,,,,,
0.03,0.08,0.85,,,,,,
0.03,0.1,0.83,,,,,,
0.04,0.12,0.82,,,,,,
0.05,0.12,0.85,,,,,,
0.04,0.12,0.88,,,,,,
0.03,0.11,0.92,,,,,,
0.03,0.11,0.94,,,,,,
0.04,0.11,0.96,,,,,,
0.04,0.1,0.99,,,,,,
0.03,0.1,1.01,,,,,,
0.03,0.12,1.02,,,,,,
0.02,0.12,1.04,,,,,,
0.02,0.11,1.06,,,,,,
0.01,0.09,1.09,,,,,,
0.01,0.08,1.1,,,,,,
0,0.1,1.08,,,,,,
0,0.12,1.05,,,,,,
-0.03,0.08,1.11,,,,,,
-0.03,0.03,1.15,,,,,,
-0.02,0.04,1.14,,,,,,
-0.02,0.06,1.09,,,,,,
-0.03,0.07,1.02,,,,,,
-0.04,0.06,0.98,,,,,,
-0.05,0.07,0.98,,,,,,
-0.06,0.05,1,,,,,,
-0.08,0.02,1.06,,,,,,
-0.08,0.01,1.04,,,,,,
-0.01,0.05,0.98,,,,,,
0.01,0.08,0.92,,,,,,
0.01,0.09,0.87,,,,,,
0.02,0.11,0.85,,,,,,
0.02,0.11,0.85,,,,,,
0.02,0.1,0.88,,,,,,
0.03,0.09,0.91,,,,,,
0.02,0.08,0.95,,,,,,
0,0.1,0.99,,,,,,
0,0.1,1.01,,,,,,
0,0.1,1.03,,,,,,
0,0.09,1.05,,,,,,
0,0.08,1.07,,,,,,
0,0.08,1.06,,,,,,
0.01,0.12,1.05,,,,,,
