-0.09,0.01,1.04,,,,,,
-0.06,-0.02,1.11,,,,,,
-0.03,-0.02,1.12,,,,,,
0,0,1.05,,,,,,
-0.02,0.04,0.91,,,,,,
-0.04,0.06,0.85,,,,,,
-0.03,0.08,0.81,,,,,,
-0.02,0.1,0.78,,,,,,
-0.01,0.11,0.78,,,,,,
-0.01,0.12,0.8,,,,,,
0,0.13,0.83,,,,,,
-0.01,0.12,0.88,,,,,,
-0.01,0.12,0.93,,,,,,
0,0.12,1.04,,,,,,
0,0.11,1.08,,,,,,
0,0.09,1.12,,,,,,
0.01,0.09,1.13,,,,,,
0.03,0.12,1.1,,,,,,
0.03,0.11,1.13,,,,,,
0.03,0.03,1.22,,,,,,
0.02,-0.02,1.23,,,,,,
0,-0.02,1.16,,,,,,
-0.01,0.02,0.98,,,,,,
-0.01,0.06,0.95,,,,,,
-0.01,0.03,0.99,,,,,,
-0.02,-0.02,1.05,,,,,,
-0.01,-0.05,1.07,,,,,,
0,-0.04,1.04,,,,,,
0,-0.02,0.96,,,,,,
-0.01,0.02,0.88,,,,,,
-0.03,0.05,0.82,,,,,,
-0.04,0.07,0.79,,,,,,
-0.04,0.07,0.82,,,,,,
-0.03,0.07,0.86,,,,,,
-0.05,0.06,0.9,,,,,,
-0.07,0.04,0.94,,,,,,
-0.08,0.03,0.99,,,,,,
-0.08,0.04,1.02,,,,,,
-0.07,0.06,1.05,,,,,,
-0.05,0.05,1.09,,,,,,
-0.02,0.03,1.14,,,,,,
0.01,0.05,1.09,,,,,,
0.03,0.08,1.14,,,,,,
0.02,0,1.21,,,,,,
0.01,-0.06,1.24,,,,,,
0.04,0.02,0.99,,,,,,
0.03,0.04,0.95,,,,,,
0.01,0.07,0.9,,,,,,
-0.01,0.08,0.86,,,,,,
-0.02,0.09,0.84,,,,,,
-0.01,0.09,0.87,,,,,,
-0.01,0.08,0.89,,,,,,
0,0.09,0.9,,,,,,
-0.01,0.08,0.93,,,,,,
-0.02,0.07,0.97,,,,,,
-0.03,0.06,1.02,,,,,,
-0.02,0.07,1.05,,,,,,
-0.01,0.06,1.09,,,,,,
0,0.05,1.11,,,,,,
-0.01,0.1,1.1,,,,,,
0.02,0.05,1.15,,,,,,
0.04,0.01,1.16,,,,,,
0.04,-0.03,1.14,,,,,,
0.04,0,1.06,,,,,,
0.01,0.04,1.01,,,,,,
0.01,0.06,0.97,,,,,,
0.02,0.06,0.98,,,,,,
0.02,0.03,1.03,,,,,,
0.05,0,1.05,,,,,,
0.04,0,1.01,,,,,,
0.02,0,0.97,,,,,,
0.02,0.01,0.93,,,,,,
0.02,0.03,0.88,,,,,,
0.02,0.05,0.85,,,,,,
0.03,0.06,0.84,,,,,,
0.03,0.08,0.83,,,,,,
0.03,0.08,0.84,,,,,,
0,0.08,0.91,,,,,,
0,0.09,0.96,,,,,,
0,0.1,1.03,,,,,,
0.01,0.12,1.09,,,,,,
0.02,0.1,1.12,,,,,,
0.01,0.09,1.12,,,,,,
-0.02,0.1,1.11,,,,,,
-0.02,0.06,1.16,,,,,,
-0.01,-0.03,1.26,,,,,,
0,-0.06,1.15,,,,,,
0.03,0.05,1.05,,,,,,
0.01,0.08,1,,,,,,
0,0.05,1.02,,,,,,
0,0.03,1.07,,,,,,
0,0,1.12,,,,,,
-0.01,-0.01,1.1,,,,,,
-0.01,0.01,1.01,,,,,,
-0.02,0.02,0.93,,,,,,
-0.02,0.02,0.89,,,,,,
0,0.08,0.83,,,,,,
0.01,0.08,0.82,,,,,,
0.01,0.08,0.83,,,,,,
0.01,0.07,0.85,,,,,,
0,0.06,0.86,,,,,,
0,0.06,0.9,,,,,,
0,0.06,0.93,,,,,,
0,0.08,0.97,,,,,,
-0.01,0.09,1.02,,,,,,
0.02,0.06,1.15,,,,,,
0.01,0.04,1.15,,,,,,
-0.01,0.06,1.12,,,,,,
-0.02,0.06,1.13,,,,,,
0,0.02,1.18,,,,,,
0.02,0,1.16,,,,,,
0.02,0.01,1.07,,,,,,
0.01,0.04,0.98,,,,,,
0,0.05,0.95,,,,,,
0.03,0.02,1.1,,,,,,
0.04,-0.03,1.17,,,,,,
0.06,-0.01,1.15,,,,,,
0.07,0.03,1.06,,,,,,
0.04,0.04,0.96,,,,,,
0.03,0.05,0.88,,,,,,
0.02,0.06,0.82,,,,,,
0.02,0.06,0.78,,,,,,
0.03,0.07,0.76,,,,,,
0,0.07,0.81,,,,,,
0,0.06,0.88,,,,,,
0,-0.06,1.29,,,,,,
0.02,-0.02,1.15,,,,,,
0.01,0.04,1.02,,,,,,
-0.01,0.06,0.96,,,,,,
-0.02,0.04,0.99,,,,,,
-0.03,-0.02,1.08,,,,,,
-0.02,-0.07,1.14,,,,,,
0.01,-0.05,1.11,,,,,,
0.03,-0.03,1.02,,,,,,
0.03,0.03,0.91,,,,,,
0.01,0.07,0.85,,,,,,
0.01,0.09,0.8,,,,,,
0,0.1,0.78,,,,,,
-0.01,0.11,0.81,,,,,,
-0.01,0.1,0.83,,,,,,
0,0.08,0.87,,,,,,
0.01,0.09,0.89,,,,,,
0.01,0.1,0.95,,,,,,
-0.02,0.07,1.01,,,,,,
-0.03,0.06,1.06,,,,,,
-0.03,0.05,1.1,,,,,,
-0.03,0.03,1.13,,,,,,
-0.04,0.05,1.12,,,,,,
-0.02,0.06,1.14,,,,,,
-0.01,0.02,1.22,,,,,,
0,0,1.22,,,,,,
0.01,0.01,1.12,,,,,,
0.01,0.05,0.99,,,,,,
0.03,0.04,1.02,,,,,,
0.04,0,1.09,,,,,,
0.04,-0.04,1.14,,,,,,
0.03,-0.04,1.11,,,,,,
0.04,-0.01,1.01,,,,,,
0.04,0.02,0.9,,,,,,
0.04,0.04,0.83,,,,,,
0.03,0.05,0.81,,,,,,
0.02,0.07,0.8,,,,,,
0.02,0.08,0.79,,,,,,
0.02,0.08,0.82,,,,,,
0.01,0.07,0.89,,,,,,
0,0.07,0.95,,,,,,
0.01,0.09,0.98,,,,,,
0.03,0.11,1,,,,,,
0.03,0.11,1.04,,,,,,
0.01,0.11,1.09,,,,,,
-0.01,0.07,1.22,,,,,,
-0.03,0.09,1.16,,,,,,
-0.06,0.06,1.21,,,,,,
-0.05,-0.02,1.33,,,,,,
-0.02,-0.06,1.31,,,,,,
0.01,-0.02,1.15,,,,,,
0.01,0.04,1,,,,,,
0,0.05,0.93,,,,,,
-0.01,0.04,0.96,,,,,,
-0.01,0.01,1.1,,,,,,
-0.02,-0.02,1.06,,,,,,
-0.01,-0.02,0.98,,,,,,
0,-0.03,0.9,,,,,,
0.02,0,0.85,,,,,,
0.04,0.04,0.83,,,,,,
0.04,0.07,0.8,,,,,,
0.04,0.09,0.79,,,,,,
0.04,0.09,0.79,,,,,,
0.02,0.07,0.81,,,,,,
0,0.07,0.88,,,,,,
-0.01,0.09,0.93,,,,,,
-0.02,0.07,0.99,,,,,,
-0.01,0.06,1.05,,,,,,
0.01,0.04,1.11,,,,,,
0.04,0.03,1.14,,,,,,
0.03,0.04,1.13,,,,,,
0.02,0.05,1.13,,,,,,
0.01,-0.01,1.24,,,,,,
-0.01,-0.12,1.25,,,,,,
0.02,-0.06,1.07,,,,,,
0,-0.01,0.97,,,,,,
0,0.01,0.96,,,,,,
0.02,0,1.02,,,,,,
0.02,-0.04,1.1,,,,,,
0.02,-0.07,1.14,,,,,,
